City,Latitude,Longitude,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed (mph)
Upernavik,72.79,-56.15,GL,1595283318,49.71,51,1,9.31
Qaanaaq,77.48,-69.36,GL,1595283312,47.86,72,98,0.63
Liberal,37.04,-100.92,US,1595283504,91.4,46,75,16.11
Atuona,-9.8,-139.03,PF,1595283051,80.06,77,42,15.9
Olafsvik,64.89,-23.71,IS,1595283387,49.77,73,31,3.51
Hasaki,35.73,140.83,JP,1595283518,70.0,100,75,3.36
Kumul,42.8,93.45,CN,1595283089,85.05,22,100,3.15
Hong Kong,22.29,114.16,HK,1595283319,84.0,79,100,1.43
Hobart,-42.88,147.33,AU,1595283288,48.99,87,75,5.82
Kapaa,22.08,-159.32,US,1595283321,82.4,69,90,14.99
Banjar,-8.19,114.97,ID,1595283382,78.8,88,75,13.87
Hilo,19.73,-155.09,US,1595283319,84.2,58,1,6.93
Namatanai,-3.67,152.43,PG,1595283346,81.75,76,29,6.11
Hermanus,-34.42,19.23,ZA,1595283305,55.0,80,0,13.47
Talnakh,69.49,88.4,RU,1595283340,50.0,100,90,8.95
Laas,46.62,10.7,IT,1595283336,60.8,67,5,0.67
Yangi Marg`ilon,40.43,71.72,UZ,1595283343,75.2,38,27,6.93
Alofi,-19.06,-169.92,NU,1595283313,82.4,83,75,10.29
Iquique,-20.22,-70.14,CL,1595283520,60.8,67,75,9.17
Upington,-28.45,21.26,ZA,1595283520,50.0,29,0,2.24
Itarema,-2.92,-39.92,BR,1595283357,78.93,76,87,15.48
Mar del Plata,-38.0,-57.56,AR,1595283329,50.0,100,90,20.8
Mataura,-46.19,168.86,NZ,1595283309,39.0,83,70,3.0
Vostok,46.49,135.88,RU,1595283344,59.34,100,100,1.88
Souillac,-20.52,57.52,MU,1595283354,68.0,72,75,9.17
Lagoa,39.05,-27.98,PT,1595283521,69.19,71,2,5.59
Lafiagi,8.87,5.42,NG,1595283522,75.2,90,34,5.14
Horizontina,-27.63,-54.31,BR,1595283522,64.99,86,65,4.81
Beringovskiy,63.05,179.32,RU,1595283127,46.69,78,17,12.15
Khovd,48.01,91.64,MN,1595283522,67.08,54,80,1.48
Villacarrillo,38.12,-3.08,ES,1595283522,91.0,24,2,5.93
Chokurdakh,70.63,147.92,RU,1595283305,76.66,39,67,13.06
Saint George,37.1,-113.58,US,1595283259,105.01,11,1,12.75
Pevek,69.7,170.31,RU,1595283311,46.67,57,10,4.38
Tual,-5.67,132.75,ID,1595283349,79.3,84,68,19.19
Aden,12.78,45.04,YE,1595283241,87.33,67,99,8.03
Holme,56.11,10.17,DK,1595283524,53.6,81,0,10.29
Assiut,27.18,31.18,EG,1595283524,82.4,32,0,8.05
Coquimbo,-29.95,-71.34,CL,1595283353,60.8,67,6,10.29
Bom Jardim,-7.8,-35.59,BR,1595283524,65.98,93,35,8.12
Usinsk,65.99,57.53,RU,1595283524,54.88,77,0,8.55
Duncan,34.5,-97.96,US,1595283510,96.01,41,40,13.87
Sinnamary,5.38,-52.95,GF,1595283380,79.36,83,100,8.88
Busselton,-33.65,115.33,AU,1595283248,50.0,65,76,14.14
Emporia,38.4,-96.18,US,1595283525,87.8,62,1,9.17
Ribeira Grande,38.52,-28.7,PT,1595283325,69.84,72,96,4.07
Dallas,32.77,-96.78,US,1595283163,95.0,39,1,12.75
Yar-Sale,66.83,70.83,RU,1595283373,56.97,64,91,9.84
Abnūb,27.27,31.15,EG,1595283445,82.4,32,0,8.05
Arraial do Cabo,-22.97,-42.03,BR,1595283029,71.6,83,0,12.75
Huéscar,37.81,-2.54,ES,1595283526,73.99,54,1,4.85
Kruisfontein,-34.0,24.73,ZA,1595283337,59.56,92,97,3.65
Pirāwa,24.16,76.03,IN,1595283527,80.74,80,98,13.94
Saint-Pierre,-21.34,55.48,RE,1595283028,66.2,68,75,10.29
Dikson,73.51,80.55,RU,1595283333,39.99,94,100,13.8
Buala,-8.14,159.59,SB,1595283387,81.7,80,41,9.24
Atherton,53.52,-2.49,GB,1595283528,52.0,80,32,6.02
Touros,-5.2,-35.46,BR,1595283373,73.4,100,75,9.17
Airai,-8.93,125.41,TL,1595283309,54.21,84,53,2.57
Dergachi,51.23,48.77,RU,1595283528,65.08,66,1,5.1
Bluff,-46.6,168.33,NZ,1595283319,39.0,83,92,3.0
Palmer,42.16,-72.33,US,1595283322,91.4,41,40,10.29
Kuala Terengganu,5.33,103.14,MY,1595283529,78.8,94,20,3.36
Aswān,24.09,32.91,EG,1595283529,93.42,17,0,14.83
Kirensk,57.79,108.11,RU,1595283529,48.88,85,11,1.5
Saint-Joseph,-21.37,55.62,RE,1595283390,66.2,68,75,8.05
Torbay,47.67,-52.73,CA,1595283358,73.4,69,75,17.22
Tuatapere,-46.13,167.68,NZ,1595283337,39.0,83,82,3.0
Lubaczów,50.16,23.12,PL,1595283530,64.99,90,95,5.64
Kiunga,-6.12,141.29,PG,1595283530,73.29,97,91,2.93
Saskylakh,71.92,114.08,RU,1595283363,54.95,56,65,5.41
Matamoros,25.53,-103.25,MX,1595283397,93.2,26,75,5.82
Piranhas,-16.43,-51.82,BR,1595283531,75.96,39,0,4.94
Brae,60.4,-1.35,GB,1595283340,51.8,81,96,4.7
Khatanga,71.97,102.5,RU,1595283309,51.48,70,100,4.27
Poum,-20.23,164.02,NC,1595283365,70.36,64,5,10.65
Shingū,33.73,135.98,JP,1595283531,78.24,80,100,3.58
Avarua,-21.21,-159.78,CK,1595283178,77.0,78,86,18.34
Hualmay,-11.1,-77.61,PE,1595283532,63.84,73,10,9.24
Caluquembe,-13.78,14.68,AO,1595283532,49.42,49,0,2.73
Faya,18.39,42.45,SA,1595283364,68.0,72,65,9.84
La Ronge,55.1,-105.28,CA,1595283532,68.0,64,90,12.75
Vila Velha,-20.33,-40.29,BR,1595283260,75.99,83,75,4.7
Jamestown,42.1,-79.24,US,1595283232,78.8,47,1,13.87
Les Cayes,18.2,-73.75,HT,1595283533,84.29,70,85,9.31
Dali,25.7,100.18,CN,1595283533,63.43,88,100,3.44
Carnarvon,-24.87,113.63,AU,1595283317,53.6,76,0,6.93
Kuandian,40.73,124.78,CN,1595283533,66.51,78,0,2.3
Marsaxlokk,35.84,14.54,MT,1595283534,75.0,83,0,3.36
Natal,-5.79,-35.21,BR,1595283446,73.4,100,75,4.7
Homer,59.64,-151.55,US,1595283534,62.6,77,1,8.05
Maridi,4.92,29.47,SS,1595283247,65.64,95,0,0.78
Mossamedes,-15.2,12.15,AO,1595283355,66.38,65,7,3.38
Camacha,33.08,-16.33,PT,1595283534,69.8,73,20,23.04
Sūsangerd,31.56,48.18,IR,1595283535,98.6,16,0,6.93
Saint-Philippe,-21.36,55.77,RE,1595283317,66.2,68,75,8.05
Alyangula,-13.85,136.42,AU,1595283535,69.8,88,79,1.12
Kalmunai,7.42,81.82,LK,1595283351,81.39,80,100,4.85
Nikolskoye,59.7,30.79,RU,1595283324,62.6,82,97,2.24
Katsuura,35.13,140.3,JP,1595283316,75.99,92,100,3.0
Rocha,-34.48,-54.33,UY,1595283536,69.8,76,100,9.55
Adrar,20.5,-10.07,MR,1595283536,97.79,19,25,3.4
Marsh Harbour,26.54,-77.06,BS,1595283536,83.44,76,87,15.55
Dwārka,22.24,68.97,IN,1595283537,84.15,80,72,19.48
Rabo de Peixe,37.8,-25.58,PT,1595283511,68.0,72,20,6.93
Puerto Ayora,-0.74,-90.35,EC,1595283321,80.6,61,40,10.29
Poopó,-18.37,-66.97,BO,1595283537,52.3,35,20,1.9
Bitung,1.45,125.18,ID,1595283537,75.2,94,40,1.12
College,64.86,-147.8,US,1595283361,68.0,63,75,7.25
Padang,-0.95,100.35,ID,1595283361,77.97,76,60,4.76
Dongsheng,39.82,109.98,CN,1595283538,66.78,51,56,13.73
Cherskiy,68.75,161.3,RU,1595283308,71.76,38,90,6.29
Cayenne,4.93,-52.33,GF,1595283338,82.4,78,75,3.36
Avera,33.19,-82.53,US,1595283325,89.6,55,40,12.75
Embu,-23.65,-46.85,BR,1595283539,71.01,49,0,1.12
Codrington,-38.27,141.97,AU,1595283342,50.04,80,99,5.84
Leningradskiy,69.38,178.42,RU,1595283341,47.34,63,0,11.59
Batagay-Alyta,67.8,130.41,RU,1595283115,67.21,77,100,1.12
Dunedin,-45.87,170.5,NZ,1595283404,49.01,74,100,6.24
Conceição do Araguaia,-8.26,-49.26,BR,1595283540,87.8,38,16,3.36
Uberlândia,-18.92,-48.28,BR,1595283540,67.33,54,0,5.48
Vilhena,-12.74,-60.15,BR,1595283540,84.2,37,71,6.93
Deputatsky,69.3,139.9,RU,1595283127,68.11,60,0,4.0
Yangjiang,21.85,111.97,CN,1595283337,79.32,89,89,3.15
Manokwari,-0.87,134.08,ID,1595283394,81.09,66,55,5.41
Hithadhoo,-0.6,73.08,MV,1595283331,83.98,78,94,15.21
Thompson,55.74,-97.86,CA,1595283345,78.8,29,75,3.36
Anadyr,64.75,177.48,RU,1595283114,55.4,62,20,6.71
La Sarre,48.8,-79.2,CA,1595283541,60.17,71,89,7.07
Kenai,60.55,-151.26,US,1595283449,66.2,63,20,11.41
Salinópolis,-0.61,-47.36,BR,1595283387,79.81,82,63,12.17
São Francisco,-15.95,-44.86,BR,1595283542,70.48,57,26,5.91
Loralai,30.37,68.6,PK,1595283542,81.81,42,7,5.84
Kutum,14.2,24.67,SD,1595283498,74.89,65,21,7.83
Waingapu,-9.66,120.26,ID,1595283542,72.0,84,28,7.4
Maun,-19.98,23.42,BW,1595283543,57.2,41,0,8.05
Port Hardy,50.7,-127.42,CA,1595283355,60.8,87,40,9.17
Nouadhibou,20.93,-17.03,MR,1595283113,78.8,69,0,3.36
Bagdarin,54.43,113.6,RU,1595283544,48.74,68,82,7.11
Butaritari,3.07,172.79,KI,1595283317,82.8,68,26,5.23
Nakamura,32.98,132.93,JP,1595283544,80.53,79,100,2.24
Geraldton,-28.77,114.6,AU,1595283422,48.2,76,0,16.11
Thomasville,35.88,-80.08,US,1595283493,93.0,54,66,6.42
San Cristobal,7.77,-72.22,VE,1595283276,89.6,43,40,14.99
Dembī Dolo,8.53,34.8,ET,1595283545,54.68,98,51,2.46
Kahului,20.89,-156.47,US,1595283545,89.6,46,40,24.16
Lorengau,-2.02,147.27,PG,1595283315,83.37,69,28,6.73
Barentu,15.11,37.59,ER,1595283545,68.95,90,76,5.86
Aklavik,68.22,-135.01,CA,1595283341,50.0,71,90,10.29
Hede,33.77,120.25,CN,1595283546,72.37,95,100,2.93
Suleja,9.18,7.18,NG,1595283546,71.69,89,38,1.07
Port Augusta,-32.5,137.77,AU,1595283113,41.0,100,100,5.82
Qandala,11.47,49.87,SO,1595283546,89.11,50,18,8.84
Pacific Grove,36.62,-121.92,US,1595283488,71.01,68,1,13.87
Tuktoyaktuk,69.45,-133.04,CA,1595283309,42.8,81,90,12.75
Norman Wells,65.28,-126.83,CA,1595283373,62.6,77,90,6.93
Ilulissat,69.22,-51.1,GL,1595283307,53.6,50,81,2.24
Port Elizabeth,-33.92,25.57,ZA,1595283125,57.2,93,37,3.36
Tambura,5.6,27.47,SS,1595283547,67.06,96,35,1.66
Alice Springs,-23.7,133.88,AU,1595283274,48.2,87,72,5.82
Ahipara,-35.17,173.17,NZ,1595283548,60.31,86,69,11.52
Arman',59.7,150.17,RU,1595283548,63.07,60,0,2.28
Churapcha,62.0,132.43,RU,1595283377,68.63,56,100,22.59
Mehamn,71.04,27.85,NO,1595283548,50.0,100,90,3.36
Serenje,-13.23,30.24,ZM,1595283548,50.4,84,0,8.86
Faanui,-16.48,-151.75,PF,1595283358,77.4,82,38,25.84
Chissamba,-12.17,17.33,AO,1595283549,53.37,48,0,3.31
Ouésso,1.61,16.05,CG,1595283355,71.38,92,100,0.58
Henties Bay,-22.12,14.28,NA,1595283549,65.3,38,0,3.44
Shelopugino,51.65,117.56,RU,1595283549,48.63,86,0,8.93
Xining,36.62,101.77,CN,1595283549,53.28,69,85,2.98
Mount Gambier,-37.83,140.77,AU,1595283093,46.4,93,90,6.93
Talaya,61.38,152.75,RU,1595283550,65.12,46,0,7.27
Half Moon Bay,37.46,-122.43,US,1595283368,78.01,63,20,25.28
Solhan,38.96,41.03,TR,1595283550,68.81,22,0,2.15
City of San Pedro,14.35,121.02,PH,1595283550,80.01,88,39,4.68
Safi,32.3,-9.24,MA,1595283551,69.33,90,22,6.46
Whitehorse,60.72,-135.05,CA,1595283323,66.2,55,75,14.99
Níjar,36.97,-2.21,ES,1595283551,82.4,48,15,10.29
Klaksvík,62.23,-6.59,FO,1595283382,48.2,93,48,6.93
Guerrero Negro,27.98,-114.06,MX,1595283326,86.59,39,8,15.35
Tiksi,71.69,128.87,RU,1595283335,44.8,95,100,13.13
Gannan,47.91,123.5,CN,1595283552,63.54,44,0,4.29
Longyearbyen,78.22,15.64,SJ,1595283150,44.6,93,75,3.36
Synya,65.37,58.04,RU,1595283553,53.22,74,7,3.51
Trat,12.5,102.5,TH,1595283553,75.65,90,100,2.64
Encruzilhada do Sul,-30.54,-52.52,BR,1595283516,63.41,95,100,3.47
Kwang Binh,17.48,106.6,VN,1595283553,80.1,81,100,4.27
Bengkulu,-3.8,102.27,ID,1595283312,76.3,86,64,4.74
Cabo San Lucas,22.89,-109.91,MX,1595283077,96.01,34,40,12.75
Lázaro Cárdenas,17.96,-102.2,MX,1595283095,85.82,71,24,11.86
Kaniama,-7.57,24.18,CD,1595283554,63.43,34,0,4.7
Tasiilaq,65.61,-37.64,GL,1595283355,44.6,87,0,8.05
Owando,-0.48,15.9,CG,1595283091,71.02,92,53,2.95
Vanse,58.12,6.7,NO,1595283554,55.0,77,11,18.97
Naze,28.37,129.48,JP,1595283366,82.4,88,40,2.24
Monrovia,6.3,-10.8,LR,1595283336,77.0,94,75,12.1
Sohag,26.56,31.69,EG,1595283530,89.6,27,0,10.29
Ayagoz,47.97,80.44,KZ,1595283555,68.31,58,98,8.03
Iqaluit,63.75,-68.51,CA,1595283369,46.4,93,75,4.7
Verkhniy Avzyan,53.53,57.54,RU,1595283556,56.84,92,0,1.95
Mahébourg,-20.41,57.7,MU,1595283342,68.0,72,75,9.17
Morondava,-20.28,44.28,MG,1595283556,67.3,59,0,8.19
Léo,11.1,-2.1,BF,1595283556,75.74,79,0,4.25
Narsaq,60.92,-46.05,GL,1595283104,60.8,38,3,8.05
Tamandaré,-8.76,-35.1,BR,1595283105,74.52,76,38,11.1
Baykit,61.67,96.37,RU,1595283557,49.77,83,3,2.62
Khāsh,28.22,61.22,IR,1595283557,75.54,19,3,13.69
Kalakamati,-20.59,27.31,BW,1595283480,48.97,77,0,11.59
Ocós,14.51,-92.19,GT,1595283557,87.8,70,75,5.82
Stornoway,58.21,-6.39,GB,1595283090,51.01,87,39,4.7
Ukiah,39.15,-123.21,US,1595282837,91.0,33,1,8.05
Langenburg,49.25,9.85,DE,1595283558,68.0,88,67,2.24
The Pas,53.83,-101.25,CA,1595283413,77.0,36,1,10.29
Honiara,-9.43,159.95,SB,1595283467,75.2,94,75,3.36
Fortuna,40.6,-124.16,US,1595283323,63.0,77,20,16.11
Myitkyina,25.38,97.4,MM,1595283559,73.54,96,100,0.11
Longview,32.5,-94.74,US,1595283388,93.2,83,90,14.99
Santiago del Estero,-27.8,-64.26,AR,1595283559,71.8,57,100,6.33
Saldanha,-33.01,17.94,ZA,1595283353,50.0,81,0,1.12
Pāsighāt,28.07,95.33,IN,1595283559,75.54,89,100,1.77
Kaohsiung City,22.62,120.31,TW,1595283560,82.0,74,40,4.7
Mabaruma,8.2,-59.78,GY,1595283560,79.41,83,97,5.01
Markova,48.68,24.41,UA,1595283560,58.05,89,7,5.23
Constitución,-35.33,-72.42,CL,1595283379,54.23,80,94,6.62
Verkhoyansk,67.54,133.38,RU,1595283560,74.16,64,98,2.55
Sungai Penuh,-2.08,101.38,ID,1595283560,65.73,94,97,3.71
Bam,29.11,58.36,IR,1595283561,81.9,15,0,13.49
Nome,64.5,-165.41,US,1595283091,53.01,87,90,9.17
Atar,20.52,-13.05,MR,1595283193,96.58,24,6,7.9
Urucará,-2.54,-57.76,BR,1595283095,82.78,59,43,2.24
Koulikoro,14.0,-7.75,ML,1595283561,81.21,67,79,11.07
Rongcheng,30.63,117.85,CN,1595283562,72.82,93,100,0.96
Balabac,7.99,117.06,PH,1595283382,82.47,79,98,10.0
Zhangaözen,43.3,52.8,KZ,1595283562,84.83,20,0,9.78
Katangli,51.71,143.23,RU,1595283562,53.67,92,100,14.58
Pajarito,5.29,-72.7,CO,1595283563,71.44,85,60,2.51
Clyde River,70.47,-68.59,CA,1595283352,44.6,100,90,13.87
Fonte Boa,-2.5,-66.27,BR,1595283563,82.98,68,88,2.71
Cairns,-16.92,145.77,AU,1595283092,68.0,88,90,9.17
Shumskiy,54.83,99.13,RU,1595283563,52.16,75,100,3.47
Joshīmath,30.57,79.57,IN,1595283563,64.33,60,98,0.54
Kudahuvadhoo,2.67,72.89,MV,1595283564,83.62,77,98,19.66
Port Shepstone,-30.74,30.45,ZA,1595283564,62.13,31,0,6.15
Kavieng,-2.57,150.8,PG,1595283360,83.21,75,87,9.98
West Melbourne,28.07,-80.65,US,1595283564,88.0,70,40,14.99
Berlevåg,70.86,29.09,NO,1595283352,50.0,100,90,3.36
Great Falls,47.5,-111.3,US,1595283061,75.99,38,20,5.82
Zelenogorskiy,55.03,87.0,RU,1595283565,59.0,100,34,6.71
Chemnitz,50.83,12.92,DE,1595283559,63.0,79,22,1.81
Okhotsk,59.38,143.3,RU,1595283565,57.24,87,100,2.13
Mahon,39.89,4.27,ES,1595283339,73.4,83,0,2.24
Laguna,38.42,-121.42,US,1595283285,88.0,39,1,6.93
Mattru,7.62,-11.83,SL,1595283566,73.42,97,100,3.18
Lebu,-37.62,-73.65,CL,1595283305,51.64,84,94,10.38
Poronaysk,49.22,143.12,RU,1595283566,57.63,94,100,7.9
Muravlenko,63.79,74.52,RU,1595283567,53.33,74,46,9.64
Asentamiento Humano Nicolas de Pierola,-11.95,-76.7,PE,1595283567,62.6,72,40,10.29
Galle,6.04,80.22,LK,1595283381,79.14,87,100,7.23
Ucluelet,48.93,-125.55,CA,1595283331,75.99,68,20,8.05
Hofn,64.25,-15.21,IS,1595283432,52.07,75,66,2.64
Komsomolets,53.75,62.07,KZ,1595283568,61.38,95,23,7.31
Lompoc,34.64,-120.46,US,1595283342,69.8,64,1,11.41
Plettenberg Bay,-34.05,23.37,ZA,1595283094,59.68,84,41,8.46
Vestmanna,62.16,-7.17,FO,1595283495,48.2,93,48,6.93
Oddur,4.12,43.89,SO,1595283357,72.66,58,33,20.8
La Santisima Trinidad,-14.83,-64.9,BO,1595283566,87.8,58,20,3.89
Aipe,3.22,-75.24,CO,1595283569,89.6,40,4,6.93
Visby,57.64,18.3,SE,1595283569,60.01,93,95,7.83
Vredendal,-31.67,18.5,ZA,1595283569,61.66,31,0,6.53
Granada,37.25,-3.25,ES,1595283491,79.0,20,0,13.0
Prescott,34.54,-112.47,US,1595283569,91.0,17,75,8.63
Kobryn,52.21,24.36,BY,1595283570,63.21,86,33,6.96
Thinadhoo,0.53,72.93,MV,1595283570,84.22,77,98,17.74
Goderich,43.75,-81.72,CA,1595282907,70.0,75,24,8.52
Nabire,-3.37,135.48,ID,1595283570,75.63,86,100,4.27
Hervey Bay,-25.3,152.85,AU,1595283570,57.0,84,100,5.99
Maumere,-8.62,122.21,ID,1595283571,74.28,78,5,3.85
Rørvik,64.86,11.24,NO,1595283571,54.7,73,100,11.59
Poya,-21.35,165.15,NC,1595283372,69.73,61,86,4.38
Egvekinot,66.32,-179.17,RU,1595283473,48.78,65,87,3.8
Sechura,-5.56,-80.82,PE,1595283571,70.5,62,7,17.87
Gachsaran,30.36,50.8,IR,1595283572,93.2,16,20,5.91
Najrān,17.49,44.13,SA,1595283572,82.4,51,73,4.7
Tabuk,17.42,121.44,PH,1595283382,73.78,87,11,2.44
Chichli,22.83,78.82,IN,1595283572,80.53,82,100,3.94
Don Luan,11.53,106.92,VN,1595283573,73.83,96,100,2.82
Vaitape,-16.52,-151.75,PF,1595283573,78.19,81,38,25.75
Snezhnogorsk,69.19,33.25,RU,1595283573,68.0,68,85,2.24
Pozo Colorado,-23.49,-58.8,PY,1595283573,79.48,44,0,6.35
Lyman,48.99,37.8,UA,1595283573,65.01,76,16,2.01
Krasnyy Chikoy,50.36,108.75,RU,1595283574,48.13,75,66,2.59
Asău,46.43,26.4,RO,1595283368,57.99,93,0,4.47
Zhezkazgan,47.8,67.71,KZ,1595283574,75.99,31,1,7.49
Ziro,27.63,93.83,IN,1595283575,59.56,100,100,0.43
La Romana,18.43,-68.97,DO,1595283575,87.8,55,40,8.05
Acajutla,13.59,-89.83,SV,1595283575,89.6,46,20,4.45
Kieta,-6.22,155.63,PG,1595283376,82.04,68,43,3.18
Nahrin,36.06,69.13,AF,1595283575,75.51,23,43,3.83
Xichang,27.9,102.26,CN,1595283576,64.71,78,99,1.01
Oodweyne,9.41,45.06,SO,1595283576,75.36,47,83,18.66
Departamento de Maldonado,-34.67,-54.92,UY,1595283576,72.0,68,100,3.36
Mbini,1.57,9.61,GQ,1595283576,77.0,94,40,5.66
Qaqortoq,60.72,-46.03,GL,1595283442,60.8,38,1,8.05
Muborak,39.26,65.15,UZ,1595283577,85.17,17,0,10.96
Mergen,49.18,125.22,CN,1595283577,60.48,60,0,5.12
Gulariyā,28.23,81.33,NP,1595283577,77.79,94,100,9.98
Hammerfest,70.66,23.68,NO,1595283465,55.4,93,75,11.41
Abashiri,44.02,144.27,JP,1595283578,67.26,87,100,3.38
Jejūri,18.28,74.17,IN,1595283578,73.94,88,100,5.28
Kavaratti,10.57,72.64,IN,1595283376,82.33,80,100,21.54
Macao,22.2,113.55,MO,1595283578,84.2,94,20,3.36
São Filipe,14.9,-24.5,CV,1595283370,77.13,82,41,8.63
Batagay,67.63,134.63,RU,1595283578,77.2,56,87,3.69
High Level,58.52,-117.14,CA,1595283579,75.2,53,75,4.7
Yantal',56.85,105.25,RU,1595283579,47.21,79,0,1.72
Yerbogachën,61.28,108.01,RU,1595283579,51.73,76,44,3.78
Kailua,21.4,-157.74,US,1595283579,84.2,54,20,13.87
Kattivākkam,13.22,80.32,IN,1595283580,82.4,88,40,4.7
Verkh-Usugli,52.7,115.17,RU,1595283580,47.98,73,0,7.16
Hobyo,5.35,48.53,SO,1595283114,77.49,73,60,24.72
Pala,9.36,14.9,TD,1595283580,71.8,83,94,4.74
Salitrillo,19.43,-99.85,MX,1595283580,69.8,30,75,5.82
Hay River,60.82,-115.8,CA,1595283372,71.6,64,40,6.93
Luganville,-15.53,167.17,VU,1595283581,71.6,78,20,5.3
Sisimiut,66.94,-53.67,GL,1595283151,49.89,79,100,2.51
Esso,55.93,158.7,RU,1595283581,54.01,58,93,8.77
Karratha,-20.74,116.85,AU,1595283108,65.14,53,0,11.9
Bethel,41.37,-73.41,US,1595283334,90.0,43,1,11.41
Kaberamaido,1.74,33.16,UG,1595283582,66.36,83,98,1.68
Umba,66.69,34.34,RU,1595283582,57.2,68,0,7.31
Lüderitz,-26.65,15.16,NA,1595283327,68.0,35,0,2.24
Haradok,55.46,29.98,BY,1595283582,58.51,88,86,3.0
Rawson,-43.3,-65.1,AR,1595283379,44.91,80,91,19.84
Polunochnoye,60.87,60.42,RU,1595283582,48.7,90,4,2.91
Şebinkarahisar,40.29,38.42,TR,1595283583,64.54,73,9,3.6
Katherine,-14.47,132.27,AU,1595283583,57.2,44,25,6.93
Junín,-34.58,-60.94,AR,1595283487,61.59,84,98,8.99
Province of Mantua,45.17,10.78,IT,1595283583,75.99,68,2,1.99
Ancud,-41.87,-73.82,CL,1595283361,50.0,81,86,6.93
Senneterre,48.38,-77.23,CA,1595283584,60.8,72,75,10.29
Northam,51.03,-4.22,GB,1595283584,57.99,73,0,4.0
Taiyuan,37.87,112.56,CN,1595283308,69.8,64,98,2.24
Ambilobe,-13.2,49.05,MG,1595283368,63.39,78,0,3.49
Zhangjiakou,40.81,114.88,CN,1595283584,71.04,67,88,2.8
Westport,41.14,-73.36,US,1595283123,93.2,41,40,13.87
Marrakesh,31.63,-8.01,MA,1595283398,82.4,51,20,6.93
Costa Rica,-23.42,-54.65,BR,1595283585,70.36,58,0,6.15
Igarka,67.47,86.58,RU,1595283392,49.6,78,98,7.05
Portland,45.52,-122.68,US,1595283308,91.99,29,20,10.29
Krasnosel'kup,65.7,82.47,RU,1595283376,54.16,60,100,6.13
Los Llanos de Aridane,28.66,-17.92,ES,1595283332,73.4,69,8,18.34
Nurota,40.56,65.69,UZ,1595283586,80.6,24,0,4.7
Mitsamiouli,-11.38,43.28,KM,1595283361,76.32,67,87,5.91
Jamkhandi,16.52,75.3,IN,1595283586,75.22,87,100,8.9
Voi,-3.39,38.56,KE,1595283587,66.33,80,6,10.33
Puerto Carreño,6.19,-67.49,CO,1595283587,80.6,78,40,2.24
Mawlaik,23.63,94.42,MM,1595283380,76.77,94,100,0.54
Kupino,54.37,77.3,RU,1595283587,59.16,83,11,12.71
Dubbo,-32.25,148.62,AU,1595283587,32.0,85,0,10.29
